Player,BattingOrder,Position,Team,Opponent,Game.ID,X1B.Ump,X2B.Ump,X3B.Ump,HP.Ump,H.A,Precipitation,Sky,Stadium,Temperature,Wind.Direction,Wind.Speed,PitchHand,HomeRun
Dansby Swanson,7,SS,ATL,WSN,WAS201804090,Brian O'Nora,Chad Whitson,Fieldin Culbreth,CB Bucknor,A,No Precipitation,Overcast,Nationals Park,45,out to Leftfield,4,(R),0
Corey Seager,NA,PH-SS,LAD,STL,SLN201904090,Chris Conroy,Bill Miller,Jansen Visconti,Doug Eddings,A,No Precipitation,Sunny,Busch Stadium III,71,from Left to Right,7,(R),0
Miguel Andujar,6,3B,NYY,BOS,NYA201809180,Chris Guccione,Kerwin Danley,Mike Estabrook,Chad Fairchild,H,No Precipitation,Cloudy,Yankee Stadium III,72,out to Rightfield,5,(L),0
Ian Desmond,NA,PH-1B,COL,SDP,SDN201805150,Ramon De Jesus,David Rackley,Larry Vanover,Hunter Wendelstedt,A,No Precipitation,Sunny,Petco Park,69,out to Rightfield,8,(R),0
Freddie Freeman,3,1B,ATL,NYM,NYN201808040,Chris Segal,Stu Scheurwater,Cory Blaser,Gary Cederstrom,A,No Precipitation,Night,Citi Field,87,out to Rightfield,7,(R),0
Willson Contreras,5,C,CHC,PHI,CHN201806060,Nick Mahrley,Jerry Layne,Jordan Baker,Vic Carapazza,H,No Precipitation,Cloudy,Wrigley Field,68,in from Rightfield,5,(L),0
Christian Vazquez,8,C,BOS,SEA,SEA201903310,Larry Vanover,Alfonso Marquez,Dan Bellino,David Rackley,A,No Precipitation,Sunny,T-Mobile Park,54,out to Centerfield,5,(R),0
Joey Votto,3,1B,CIN,CHC,CHN201807070,Tripp Gibson,Brian Gorman,Mike Muchlinski,Adrian Johnson,A,No Precipitation,Sunny,Wrigley Field,72,in from Rightfield,9,(R),0
Josh Reddick,2,RF,HOU,TEX,TEX201803300,Ed Hickox,Gabe Morales,Jerry Meals,Ron Kulpa,A,No Precipitation,Night,Globe Life Park in Arlington,70,in from Centerfield,9,(L),0
Eric Yardley,NA,P,SDP,COL,COL201909130,Paul Nauert,John Libka,Ed Hickox,Carlos Torres,A,No Precipitation,Night,Coors Field,80,out to Centerfield,3,(L),0
Juan Minaya,NA,P,CHW,TOR,CHA201807280,Brian O'Nora,Fieldin Culbreth,CB Bucknor,Chris Conroy,H,No Precipitation,Cloudy,Guaranteed Rate Field,76,in from Centerfield,3,(R),0
Michael Brantley,4,LF,CLE,SEA,CLE201804290,Mike DiMuro,Chad Whitson,Mark Wegner,Jim Reynolds,H,No Precipitation,Sunny,Progressive Field,42,in from Leftfield,12,(R),0
Noe Ramirez,NA,P,LAA,MIN,MIN201806080,Jim Reynolds,Bruce Dreckman,Roberto Ortiz,Mike Estabrook,A,No Precipitation,Cloudy,Target Field,73,in from Rightfield,10,(R),0
Jesus Aguilar,3,1B,MIL,CHW,CHA201806020,Nick Mahrley,Doug Eddings,Mark Ripperger,Greg Gibson,A,No Precipitation,Cloudy,Guaranteed Rate Field,62,out to Rightfield,9,(R),1
Matt Albers,NA,P,MIL,NYM,MIL201905050,Carlos Torres,Dana DeMuth,Angel Hernandez,Ed Hickox,H,No Precipitation,Cloudy,Miller Park,70,from Right to Left,9,(R),0
Tony Wolters,8,C,COL,SFG,SFN201806280,Jim Reynolds,John Tumpane,Mike DiMuro,Mark Wegner,A,No Precipitation,Sunny,AT&T Park,66,out to Centerfield,13,(R),0
Joe Mauer,NA,PH,MIN,KCR,KCA201809130,Gary Cederstrom,Ben May,Cory Blaser,Stu Scheurwater,A,No Precipitation,Cloudy,Kauffman Stadium,80,from Right to Left,8,(L),0
Tyler Saladino,NA,SS,MIL,MIA,MIA201807090,Mike Muchlinski,Adrian Johnson,Tripp Gibson,Brian Gorman,A,No Precipitation,Cloudy,Marlins Park,87,in from Rightfield,9,(R),0
JaCoby Jones,8,CF,DET,CHW,CHA201809040,Alfonso Marquez,Sam Holbrook,DJ Reyburn,Chris Segal,A,No Precipitation,Cloudy,Guaranteed Rate Field,90,in from Rightfield,11,(L),0
Colin Moran,6,3B-1B-2B,PIT,STL,PIT201907240,Chad Fairchild,Mike Estabrook,Bruce Dreckman,Alfonso Marquez,H,No Precipitation,Cloudy,PNC Park,74,out to Rightfield,8,(R),0
Zack Collins,7,DH,CHW,KCR,CHA201909100,Dan Bellino,Jeremie Rehak,David Rackley,Alfonso Marquez,H,No Precipitation,Cloudy,Guaranteed Rate Field,83,from Right to Left,10,(R),0
Josh Bell,4,1B,PIT,NYM,NYN201907270,Todd Tichenor,Jordan Baker,Marvin Hudson,Hunter Wendelstedt,A,No Precipitation,Night,Citi Field,80,out to Leftfield,13,(R),0
Isiah Kiner-Falefa,6,3B,TEX,HOU,TEX201806100,DJ Reyburn,Ryan Blakney,Sam Holbrook,Alfonso Marquez,H,No Precipitation,Cloudy,Globe Life Park in Arlington,92,in from Rightfield,11,(L),0
Marcus Semien,2,SS,OAK,BAL,BAL201904110,Sam Holbrook,Chad Fairchild,Chad Whitson,Jim Wolf,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,53,in from Rightfield,10,(R),1
Mitch Moreland,5,1B,BOS,PHI,PHI201909150,Jerry Meals,Ron Kulpa,Bruce Dreckman,Gabe Morales,A,No Precipitation,Sunny,Citizens Bank Park,81,from Left to Right,5,(R),0
Chaz Roe,NA,P,TBR,DET,DET201804300,Marvin Hudson,Chad Whitson,Gary Cederstrom,Stu Scheurwater,A,No Precipitation,Night,Comerica Park,70,from Right to Left,12,(R),0
Jose Peraza,2,SS,CIN,PHI,PHI201804110,Ben May,Ron Kulpa,Gabe Morales,Jerry Meals,A,No Precipitation,Cloudy,Citizens Bank Park,53,out to Centerfield,10,(R),0
Wil Myers,NA,PR,SDP,BOS,SDN201908240,Ben May,Adam Hamari,Tom Hallion,Todd Tichenor,H,No Precipitation,Night,Petco Park,75,from Left to Right,6,(R),0
Danny Duffy,NA,P,KCR,CHW,CHA201807140,Chad Whitson,Mike Winters,Tim Timmons,Adam Hamari,A,No Precipitation,Overcast,Guaranteed Rate Field,74,in from Leftfield,6,(L),0
Cody Bellinger,4,CF,LAD,SEA,SEA201808170,Marvin Hudson,Andy Fletcher,Bruce Dreckman,Mike Estabrook,A,No Precipitation,Night,Safeco Field,71,out to Rightfield,3,(R),0
Nick Castellanos,3,RF,DET,MIN,DET201808100,Bruce Dreckman,Chad Fairchild,Mike Estabrook,Angel Hernandez,H,No Precipitation,Cloudy,Comerica Park,81,in from Leftfield,10,(R),0
Brandon Drury,7,1B,TOR,BAL,BAL201908020,Chris Guccione,Brian O'Nora,Mark Ripperger,Jeremie Rehak,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,84,out to Leftfield,9,(R),1
Harrison Musgrave,NA,P,COL,SFG,COL201805300,James Hoye,Quinn Wolcott,Jeff Kellogg,Marvin Hudson,H,No Precipitation,Cloudy,Coors Field,70,in from Centerfield,15,(R),0
Cesar Puello,5,RF,MIA,PHI,PHI201906210,Chris Guccione,Mike Everitt,Bill Welke,Lance Barrett,A,No Precipitation,Night,Citizens Bank Park,79,from Left to Right,15,(R),0
Joey Rickard,8,LF,BAL,TEX,BAL201807150,Lance Barrett,Bill Welke,Andy Fletcher,Cory Blaser,H,No Precipitation,Cloudy,Oriole Park at Camden Yards,83,in from Rightfield,4,(R),0
Adam Engel,9,CF,CHW,DET,CHA201809030,Chris Segal,Alfonso Marquez,Sam Holbrook,DJ Reyburn,H,No Precipitation,Cloudy,Guaranteed Rate Field,82,out to Rightfield,5,(R),0
Aaron Altherr,NA,LF,NYM,ATL,ATL201908140,James Hoye,Kerwin Danley,Tom Woodring,Mark Ripperger,A,No Precipitation,Cloudy,SunTrust Park,75,from Left to Right,5,(L),0
Dallas Keuchel,NA,P,HOU,BAL,HOU201804040,Nic Lentz,Bill Welke,Tony Randazzo,Lance Barrett,H,No Precipitation,Sunny,Minute Maid Park,68,out to Leftfield,17,(L),0
Patrick Wisdom,NA,3B,STL,CIN,SLN201808310,Jerry Meals,Ed Hickox,Gabe Morales,John Libka,H,No Precipitation,Cloudy,Busch Stadium III,84,out to Leftfield,11,(L),1
Ryan Cordell,7,RF,CHW,CHC,CHN201906180,Cory Blaser,Laz Diaz,Jansen Visconti,Jeff Nelson,A,No Precipitation,Cloudy,Wrigley Field,70,in from Rightfield,4,(R),0
Richard Bleier,NA,P,BAL,TOR,BAL201909170,Alfonso Marquez,No Umpire,Dan Bellino,Larry Vanover,H,No Precipitation,Night,Oriole Park at Camden Yards,77,in from Rightfield,8,(R),0
Chad Pinder,6,LF,OAK,BOS,OAK201904010,Greg Gibson,Tripp Gibson,Nic Lentz,Kerwin Danley,H,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,62,out to Rightfield,8,(R),1
Martin Prado,1,3B,MIA,ATL,ATL201805190,Roberto Ortiz,Ed Hickox,Jerry Meals,Gabe Morales,A,No Precipitation,Cloudy,SunTrust Park,86,from Right to Left,3,(R),0
Yasmani Grandal,1,C,MIL,PIT,MIL201906290,Sean Barber,Adam Hamari,Todd Tichenor,Tom Hallion,H,No Precipitation,Night,Miller Park,79,in from Leftfield,7,(R),0
Matt Skole,6,1B,CHW,OAK,CHA201908110,Andy Fletcher,Jansen Visconti,Will Little,Joe West,H,No Precipitation,Cloudy,Guaranteed Rate Field,82,from Right to Left,9,(R),0
Carlos Gomez,NA,RF,TBR,BAL,BAL201807260,Jansen Visconti,James Hoye,Adam Hamari,Phil Cuzzi,A,No Precipitation,Night,Oriole Park at Camden Yards,89,out to Centerfield,6,(R),0
Maikel Franco,7,3B,PHI,ATL,ATL201803310,Jordan Baker,Jerry Layne,Greg Gibson,Vic Carapazza,A,No Precipitation,Cloudy,SunTrust Park,67,from Left to Right,6,(R),0
Chaz Roe,NA,P,TBR,TOR,TOR201909290,Adam Hamari,Laz Diaz,Tony Randazzo,Jeff Nelson,A,No Precipitation,Cloudy,Rogers Centre,57,from Right to Left,16,(L),0
Amed Rosario,9,SS,NYM,WSN,NYN201804180,Ted Barrett,Lance Barksdale,Will Little,Tom Woodring,H,No Precipitation,Night,Citi Field,53,out to Rightfield,11,(L),0
Randal Grichuk,4,RF,TOR,HOU,TOR201908310,Paul Emmel,Ryan Blakney,Mike Estabrook,Bruce Dreckman,H,No Precipitation,Cloudy,Rogers Centre,68,from Right to Left,10,(R),0
Dexter Fowler,NA,PH,STL,ATL,SLN201806300,Gabe Morales,Ed Hickox,Jerry Meals,Chris Segal,H,No Precipitation,Cloudy,Busch Stadium III,91,from Right to Left,11,(R),0
Chad Green,NA,P,NYY,TOR,NYA201809150,Gerry Davis,Pat Hoberg,Brian Knight,Roberto Ortiz,H,No Precipitation,Cloudy,Yankee Stadium III,82,from Right to Left,7,(L),0
Buck Farmer,NA,P,DET,SEA,SEA201805180,Mike Winters,Mike Muchlinski,Tim Timmons,Rob Drake,A,No Precipitation,Cloudy,Safeco Field,62,from Left to Right,2,(R),0
Lorenzo Cain,1,CF,MIL,CHC,MIL201806130,Bruce Dreckman,Ben May,Mike Estabrook,Jim Reynolds,H,No Precipitation,Sunny,Miller Park,77,out to Centerfield,15,(R),1
Hunter Strickland,NA,P,WSN,STL,SLN201909160,Jim Wolf,John Tumpane,Manny Gonzalez,Sam Holbrook,A,No Precipitation,Cloudy,Busch Stadium III,90,from Left to Right,6,(R),0
Tony Wolters,8,C,COL,LAD,COL201907290,John Bacon,Kerwin Danley,John Tumpane,Lance Barksdale,H,No Precipitation,Night,Coors Field,82,from Left to Right,8,(R),0
Aramis Garcia,7,C,SFG,COL,COL201905090,James Hoye,Lance Barksdale,Ted Barrett,Nic Lentz,A,No Precipitation,Overcast,Coors Field,39,from Right to Left,6,(L),0
Andrew Cashner,NA,P,BOS,NYY,BOS201907260,Nick Mahrley,Fieldin Culbreth,DJ Reyburn,Paul Nauert,H,No Precipitation,Night,Fenway Park,81,from Right to Left,12,(R),0
Jean Segura,4,SS,PHI,PIT,PHI201908270,Alex Tosi,Mark Ripperger,Brian O'Nora,James Hoye,H,No Precipitation,Cloudy,Citizens Bank Park,75,out to Centerfield,5,(L),0
Adam Morgan,NA,P,PHI,WSN,PHI201808270,Sam Holbrook,Chris Segal,Alfonso Marquez,Jim Wolf,H,No Precipitation,Night,Citizens Bank Park,90,out to Centerfield,8,(R),0
Caleb Joseph,9,C,BAL,TOR,TOR201808200,Ryan Blakney,Dan Bellino,Phil Cuzzi,Adam Hamari,A,No Precipitation,Overcast,Rogers Centre,75,from Right to Left,14,(R),0
Harold Ramirez,3,RF,MIA,STL,SLN201906190,Tom Hallion,Adam Hamari,Todd Tichenor,Phil Cuzzi,A,No Precipitation,Cloudy,Busch Stadium III,80,out to Centerfield,7,(R),0
Ben Gamel,NA,PH,MIL,CHC,MIL201907280,Ryan Additon,Adrian Johnson,Marty Foster,Gary Cederstrom,H,No Precipitation,Cloudy,Miller Park,90,from Right to Left,8,(R),0
Tony Kemp,9,LF,HOU,CLE,CLE201805240,James Hoye,Lance Barrett,Tony Randazzo,Bill Welke,A,No Precipitation,Cloudy,Progressive Field,74,in from Centerfield,6,(R),0
Oscar Mercado,2,CF,CLE,KCR,CLE201907190,Ryan Blakney,Chad Fairchild,Mike Estabrook,Alfonso Marquez,H,No Precipitation,Cloudy,Progressive Field,93,out to Rightfield,12,(R),0
Jedd Gyorko,6,3B,STL,PHI,SLN201805170,David Rackley,Larry Vanover,Hunter Wendelstedt,Ramon De Jesus,H,No Precipitation,Overcast,Busch Stadium III,81,from Right to Left,10,(R),0
Alen Hanson,6,3B,SFG,SDP,SFN201809260,Marvin Hudson,Quinn Wolcott,Nick Mahrley,Ryan Additon,H,No Precipitation,Cloudy,AT&T Park,57,out to Centerfield,12,(R),0
Brett Gardner,1,LF,NYY,MIA,NYA201804170,Bill Welke,Tony Randazzo,Lance Barrett,Nic Lentz,H,No Precipitation,Cloudy,Yankee Stadium III,44,out to Centerfield,15,(R),0
Brett Gardner,1,LF,NYY,NYM,NYA201807200,Larry Vanover,Chris Guccione,David Rackley,Hunter Wendelstedt,H,No Precipitation,Night,Yankee Stadium III,77,from Right to Left,9,(R),0
Seunghwan Oh,NA,P,COL,STL,COL201808250,Lance Barrett,Tony Randazzo,Brian O'Nora,Cory Blaser,H,No Precipitation,Cloudy,Coors Field,87,out to Centerfield,2,(R),0
Tommy Hunter,NA,P,PHI,STL,PHI201806190,Cory Blaser,Stu Scheurwater,Eric Cooper,Gary Cederstrom,H,No Precipitation,Night,Citizens Bank Park,88,from Left to Right,10,(R),0
Reynaldo Lopez,NA,P,CHW,MIN,MIN201909160,Lance Barrett,Chris Guccione,Jansen Visconti,Mike Everitt,A,No Precipitation,Cloudy,Target Field,82,in from Rightfield,10,(R),0
Gio Urshela,5,3B,NYY,LAA,NYA201909190,Jansen Visconti,Bill Miller,Doug Eddings,Chad Whitson,H,No Precipitation,Night,Yankee Stadium III,68,from Right to Left,5,(R),0
Jose Leclerc,NA,P,TEX,SEA,SEA201904250,Mark Carlson,Scott Barry,Brian Gorman,Tripp Gibson,A,No Precipitation,Cloudy,T-Mobile Park,56,out to Rightfield,3,(L),0
Luis Castillo,8,P,CIN,STL,SLN201804220,Larry Vanover,Mark Carlson,Chris Guccione,David Rackley,A,No Precipitation,Overcast,Busch Stadium III,58,from Right to Left,12,(R),0
Tomas Nido,NA,PH,NYM,COL,NYN201805060,Chad Fairchild,Bruce Dreckman,Mike Estabrook,Eric Cooper,H,No Precipitation,Cloudy,Citi Field,62,in from Centerfield,11,(R),0
Ronald Guzman,9,1B,TEX,NYY,TEX201805210,Pat Hoberg,Nic Lentz,Mark Carlson,Gerry Davis,H,No Precipitation,Cloudy,Globe Life Park in Arlington,85,in from Centerfield,3,(R),1
Cory Gearrin,NA,P,SFG,CIN,SFN201805140,Joe West,Doug Eddings,Marty Foster,Mark Ripperger,H,No Precipitation,Cloudy,AT&T Park,57,out to Centerfield,13,(R),0
Matt Wieters,NA,PH,STL,MIA,SLN201906200,Adam Hamari,Todd Tichenor,Phil Cuzzi,Tom Hallion,H,No Precipitation,Cloudy,Busch Stadium III,81,out to Rightfield,6,(R),0
Mookie Betts,1,RF,BOS,BAL,BOS201805170,Lance Barrett,Bill Welke,Nic Lentz,Tony Randazzo,H,No Precipitation,Cloudy,Fenway Park,68,from Right to Left,7,(L),0
Anthony Swarzak,NA,P,MIL,MIA,MIL201709150,Todd Tichenor,Kerwin Danley,Bill Miller,Ryan Additon,A,No Precipitation,Night,Miller Park,75,in from Centerfield,5,(R),0
Tim Anderson,1,SS,CHW,KCR,KCA201804270,Vic Carapazza,Jordan Baker,Jerry Layne,Sean Barber,A,No Precipitation,Night,Kauffman Stadium,75,from Left to Right,13,(R),0
Kyle Ryan,NA,P,CHC,CIN,CHN201909160,Laz Diaz,Tony Randazzo,Cory Blaser,Jeff Nelson,H,No Precipitation,Cloudy,Wrigley Field,67,in from Centerfield,6,(L),0
Jose Peraza,2,SS,CIN,PHI,PHI201804090,Gabe Morales,Jerry Meals,Ben May,Ron Kulpa,A,No Precipitation,Cloudy,Citizens Bank Park,43,in from Centerfield,10,(L),0
Justin Turner,3,3B,LAD,SFG,LAN201909070,Lance Barrett,Chris Guccione,Bill Welke,Tony Randazzo,H,No Precipitation,Night,Dodger Stadium,81,out to Centerfield,8,(R),0
Grayson Greiner,8,C,DET,HOU,DET201905140,Bruce Dreckman,Chad Fairchild,Paul Emmel,Mike Estabrook,H,No Precipitation,Cloudy,Comerica Park,66,out to Centerfield,7,(L),0
Daniel Zamora,NA,P,NYM,SFG,NYN201808200,Chad Whitson,Lance Barrett,Tony Randazzo,Brian O'Nora,H,No Precipitation,Cloudy,Citi Field,73,from Right to Left,6,(R),0
Kevin Newman,7,3B-SS,PIT,ARI,ARI201905130,Lance Barksdale,Ted Barrett,John Tumpane,Kerwin Danley,A,No Precipitation,Night,Chase Field,90,out to Rightfield,6,(R),0
Peter Bourjos,8,LF,ATL,COL,COL201804080,Lance Barrett,Nic Lentz,Bill Welke,Tony Randazzo,A,No Precipitation,Cloudy,Coors Field,59,from Left to Right,9,(L),0
Cam Gallagher,9,C,KCR,SEA,KCA201804110,Gerry Davis,Mark Carlson,Brian Knight,Jeremie Rehak,H,No Precipitation,Cloudy,Kauffman Stadium,71,from Right to Left,19,(L),0
Mason Williams,NA,PR-DH,BAL,TEX,BAL201909050,Alan Porter,Jim Reynolds,Sean Barber,Stu Scheurwater,H,No Precipitation,Cloudy,Oriole Park at Camden Yards,76,in from Rightfield,7,(L),0
Ian Kinsler,1,2B,SDP,PIT,SDN201905170,DJ Reyburn,Fieldin Culbreth,Paul Nauert,CB Bucknor,H,No Precipitation,Night,Petco Park,65,out to Rightfield,10,(L),0
Mookie Betts,1,RF,BOS,BAL,BOS201908160,Eric Cooper,Jansen Visconti,Will Little,Joe West,H,No Precipitation,Cloudy,Fenway Park,70,in from Rightfield,13,(R),1
Eddie Rosario,4,LF,MIN,CLE,CLE201906060,Jeff Nelson,Cory Blaser,Laz Diaz,Roberto Ortiz,A,No Precipitation,Cloudy,Progressive Field,63,in from Centerfield,4,(R),0
Josh Tomlin,NA,P,ATL,CIN,ATL201908020,Sam Holbrook,Manny Gonzalez,Roberto Ortiz,Dan Iassogna,H,No Precipitation,Cloudy,SunTrust Park,80,from Left to Right,5,(R),0
Nolan Arenado,3,3B,COL,CIN,COL201805250,Bruce Dreckman,Dan Bellino,Tom Hallion,Adam Hamari,H,No Precipitation,Night,Coors Field,88,in from Rightfield,7,(R),1
Matthew Joyce,2,LF,OAK,BAL,OAK201805060,Chris Guccione,David Rackley,Larry Vanover,Hunter Wendelstedt,H,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,64,out to Rightfield,13,(R),0
Mike Tauchman,9,LF,NYY,BAL,BAL201908060,Angel Hernandez,Jordan Baker,Ed Hickox,Carlos Torres,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,80,from Right to Left,7,(R),1
Nick Markakis,4,RF,ATL,WSN,WAS201808090,Jordan Baker,Jerry Layne,Greg Gibson,Vic Carapazza,A,No Precipitation,Cloudy,Nationals Park,84,in from Leftfield,6,(R),1
Alex Gordon,5,LF,KCR,OAK,OAK201909180,Greg Gibson,CB Bucknor,Ryan Additon,DJ Reyburn,A,No Precipitation,Overcast,Oakland-Alameda County Coliseum,72,out to Rightfield,11,(L),0
C.J. Cron,7,1B,MIN,BOS,BOS201909040,Fieldin Culbreth,CB Bucknor,DJ Reyburn,Ramon De Jesus,A,No Precipitation,Overcast,Fenway Park,79,out to Centerfield,14,(R),0
Mike Trout,2,CF,LAA,TEX,TEX201908201,Andy Fletcher,Adam Hamari,Tom Hallion,Todd Tichenor,A,No Precipitation,Cloudy,Globe Life Park in Arlington,97,from Right to Left,9,(L),1
Jorge De La Rosa,NA,P,ARI,LAD,ARI201805030,Tom Woodring,Greg Gibson,Vic Carapazza,Jordan Baker,H,No Precipitation,Sunny,Chase Field,74,from Left to Right,3,(L),0
Paul DeJong,2,SS,STL,CHW,CHA201807100,Paul Nauert,Scott Barry,Carlos Torres,Kerwin Danley,A,No Precipitation,Cloudy,Guaranteed Rate Field,78,in from Leftfield,12,(R),0
Ryan O'Hearn,7,1B,KCR,STL,SLN201905222,Alfonso Marquez,Scott Barry,John Libka,Jansen Visconti,A,No Precipitation,Sunny,Busch Stadium III,82,in from Rightfield,14,(R),0
Josh Naylor,NA,PH,SDP,PHI,SDN201906030,Lance Barksdale,Ted Barrett,John Tumpane,Ramon De Jesus,H,No Precipitation,Cloudy,Petco Park,63,from Left to Right,10,(L),0
David Peralta,1,LF,ARI,LAD,LAN201805080,David Rackley,Larry Vanover,Hunter Wendelstedt,Chris Guccione,A,No Precipitation,Cloudy,Dodger Stadium,70,from Left to Right,6,(R),0
Nick Markakis,5,RF,ATL,WSN,ATL201905290,Larry Vanover,Alfonso Marquez,Dan Bellino,Sean Barber,H,No Precipitation,Cloudy,SunTrust Park,91,from Right to Left,10,(R),0
Phil Ervin,4,LF,CIN,MIL,CIN201808300,Lance Barrett,Bill Welke,Tony Randazzo,Nick Mahrley,H,No Precipitation,Overcast,Great American Ball Park,75,out to Rightfield,6,(L),0
Wilmer Font,NA,P,TOR,TEX,TOR201908130,Sean Barber,Adrian Johnson,Gary Cederstrom,Quinn Wolcott,H,No Precipitation,Cloudy,Rogers Centre,77,from Right to Left,6,(R),0
Neil Walker,6,1B,NYY,TEX,TEX201805230,Mark Carlson,Pat Hoberg,Tim Timmons,Nic Lentz,A,No Precipitation,Cloudy,Globe Life Park in Arlington,91,in from Centerfield,11,(L),1
Max Fried,9,P,ATL,WSN,WAS201909150,Mike Muchlinski,Rob Drake,Tim Timmons,Bill Welke,A,No Precipitation,Sunny,Nationals Park,81,in from Leftfield,5,(L),0
Max Muncy,NA,PH-3B,LAD,SDP,LAN201808240,Tripp Gibson,Ryan Additon,Laz Diaz,Brian Gorman,H,No Precipitation,Night,Dodger Stadium,74,out to Centerfield,6,(L),1
James Paxton,NA,P,NYY,NYM,NYA201906112,Fieldin Culbreth,CB Bucknor,John Libka,DJ Reyburn,H,No Precipitation,Night,Yankee Stadium III,76,out to Rightfield,14,(L),0
Kevan Smith,NA,PH-C,LAA,BOS,ANA201908300,David Rackley,Jeremie Rehak,Larry Vanover,Dan Bellino,H,No Precipitation,Night,Angel Stadium of Anaheim,81,out to Centerfield,10,(L),0
Matt Olson,2,1B,OAK,TBR,OAK201906230,Stu Scheurwater,Mark Wegner,Jeremie Rehak,Jim Reynolds,H,No Precipitation,Sunny,Oakland-Alameda County Coliseum,80,out to Rightfield,12,(L),0
Eugenio Suarez,4,3B,CIN,PIT,CIN201805240,Jeff Nelson,Laz Diaz,Manny Gonzalez,Andy Fletcher,H,No Precipitation,Sunny,Great American Ball Park,79,from Left to Right,8,(R),1
Chad Green,NA,P,NYY,BAL,BAL201808260,James Hoye,Quinn Wolcott,Sean Barber,Alfonso Marquez,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,84,out to Centerfield,4,(R),0
Justin Smoak,4,1B,TOR,BAL,BAL201908010,Jeremie Rehak,Chris Guccione,Brian O'Nora,Mark Ripperger,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,86,in from Rightfield,6,(R),0
Alexi Ogando,NA,P,CLE,NYY,NYA201805040,Tony Randazzo,Lance Barrett,Lance Barksdale,Tim Timmons,A,No Precipitation,Cloudy,Yankee Stadium III,79,in from Rightfield,9,(R),0
Ben Gamel,NA,RF,MIL,ATL,ATL201905170,Jeff Kellogg,Brian O'Nora,James Hoye,Mark Ripperger,A,No Precipitation,Cloudy,SunTrust Park,80,from Right to Left,6,(R),0
Kevan Smith,8,C,LAA,HOU,ANA201907160,Mark Wegner,Alan Porter,Jim Reynolds,Stu Scheurwater,H,No Precipitation,Night,Angel Stadium of Anaheim,74,out to Leftfield,8,(L),0
Oliver Perez,NA,P,CLE,CHW,CLE201905070,Gabe Morales,Ron Kulpa,Marty Foster,Jerry Meals,H,No Precipitation,Overcast,Progressive Field,50,in from Rightfield,14,(R),0
Mark Zagunis,NA,PH,CHC,CIN,CIN201905160,Angel Hernandez,Ed Hickox,Roberto Ortiz,Dana DeMuth,A,No Precipitation,Cloudy,Great American Ball Park,77,in from Rightfield,9,(L),0
Nicky Lopez,2,2B,KCR,TOR,TOR201906300,Tripp Gibson,Chris Segal,James Hoye,Mark Carlson,A,No Precipitation,Cloudy,Rogers Centre,72,in from Centerfield,12,(R),0
Blake Treinen,NA,P,OAK,TOR,OAK201904210,Jeff Nelson,Laz Diaz,Cory Blaser,Tony Randazzo,H,No Precipitation,Sunny,Oakland-Alameda County Coliseum,65,out to Rightfield,11,(L),0
Brandon Crawford,6,SS,SFG,WSN,SFN201908050,Gerry Davis,Brian Knight,Pat Hoberg,Greg Gibson,H,No Precipitation,Cloudy,Oracle Park,65,out to Centerfield,14,(R),0
Craig Stammen,NA,P,SDP,CIN,SDN201806030,Carlos Torres,Paul Nauert,Lance Barksdale,Scott Barry,H,No Precipitation,Sunny,Petco Park,73,from Left to Right,11,(R),0
Marcus Semien,1,SS,OAK,HOU,OAK201906010,Alan Porter,Jim Reynolds,Stu Scheurwater,Roberto Ortiz,H,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,60,out to Rightfield,18,(L),0
Ryan Zimmerman,5,1B,WSN,PIT,WAS201904140,Mark Carlson,Scott Barry,Nic Lentz,Kerwin Danley,H,No Precipitation,Cloudy,Nationals Park,73,out to Leftfield,10,(R),0
Grayson Greiner,7,C,DET,CLE,DET201904110,John Tumpane,Ted Barrett,Sean Barber,Lance Barksdale,H,No Precipitation,Cloudy,Comerica Park,43,in from Leftfield,23,(R),0
Gleyber Torres,NA,PH-2B,NYY,KCR,NYA201807282,Laz Diaz,Andy Fletcher,Jeremie Rehak,Manny Gonzalez,H,No Precipitation,Cloudy,Yankee Stadium III,84,out to Leftfield,8,(L),0
Luis Garcia,NA,P,PHI,LAD,LAN201805280,Kerwin Danley,Tom Woodring,Will Little,Ted Barrett,A,No Precipitation,Night,Dodger Stadium,73,in from Centerfield,6,(R),0
Kyle Schwarber,6,LF,CHC,MIL,MIL201806130,Bruce Dreckman,Ben May,Mike Estabrook,Jim Reynolds,A,No Precipitation,Sunny,Miller Park,77,out to Centerfield,15,(L),0
Isiah Kiner-Falefa,7,DH,TEX,TBR,TEX201909100,Tony Randazzo,Mike Muchlinski,Rob Drake,Tim Timmons,H,No Precipitation,Cloudy,Globe Life Park in Arlington,91,in from Centerfield,14,(R),0
Ozzie Albies,7,2B,ATL,COL,COL201904090,Gabe Morales,Jerry Meals,Ron Kulpa,Marty Foster,A,No Precipitation,Cloudy,Coors Field,74,from Right to Left,4,(L),0
