Player,BattingOrder,Position,Team,Opponent,Game.ID,X1B.Ump,X2B.Ump,X3B.Ump,HP.Ump,H.A,Precipitation,Sky,Stadium,Temperature,Wind.Direction,Wind.Speed,PitchHand,HomeRun
Michael Wacha,9,P,STL,NYM,NYN201803310,CB Bucknor,Chris Conroy,Fieldin Culbreth,Brian O'Nora,A,No Precipitation,Sunny,Citi Field,53,out to Centerfield,3,(R),0
David Hess,NA,P,BAL,BOS,BOS201805200,Alfonso Marquez,Lance Barrett,Bill Welke,Nic Lentz,A,No Precipitation,Cloudy,Fenway Park,78,out to Centerfield,18,(R),0
Nick Vincent,NA,P,SFG,SDP,SDN201903280,Lance Barksdale,John Tumpane,Ramon De Jesus,Ted Barrett,A,No Precipitation,Cloudy,Petco Park,68,from Left to Right,12,(L),0
Ben Gamel,7,LF-CF,MIL,LAD,LAN201904140,Tim Timmons,Pat Hoberg,Jeremie Rehak,Gerry Davis,A,No Precipitation,Cloudy,Dodger Stadium,74,out to Centerfield,5,(R),0
Jimmy Yacabonis,NA,P,BAL,SDP,SDN201907290,Manny Gonzalez,Roberto Ortiz,Dan Iassogna,Sam Holbrook,A,No Precipitation,Cloudy,Petco Park,73,from Left to Right,8,(R),0
Leonys Martin,9,CF,CLE,DET,DET201906160,Mike Muchlinski,Dan Iassogna,Manny Gonzalez,Sam Holbrook,A,No Precipitation,Overcast,Comerica Park,58,from Left to Right,9,(R),0
Ketel Marte,7,SS-2B,ARI,SDP,SDN201808190,Sean Barber,James Hoye,Eric Cooper,Quinn Wolcott,A,No Precipitation,Sunny,Petco Park,81,from Left to Right,14,(R),0
C.J. Cron,5,1B,MIN,DET,MIN201905112,Jordan Baker,Paul Nauert,Alex Tosi,Chad Whitson,H,No Precipitation,Cloudy,Target Field,61,from Right to Left,21,(R),1
Nolan Arenado,3,3B,COL,ARI,COL201908140,Paul Nauert,Fieldin Culbreth,CB Bucknor,Chris Conroy,H,No Precipitation,Sunny,Coors Field,85,in from Centerfield,4,(L),1
Melky Cabrera,NA,PH,CLE,MIN,CLE201808070,Ryan Additon,Adrian Johnson,Marvin Hudson,Tripp Gibson,H,No Precipitation,Overcast,Progressive Field,75,out to Centerfield,6,(R),0
Mitch Keller,9,P,PIT,MIA,PIT201909030,Carlos Torres,Angel Hernandez,Paul Nauert,John Libka,H,No Precipitation,Night,PNC Park,81,in from Rightfield,9,(R),0
Ryan Borucki,NA,P,TOR,NYY,NYA201808190,Jansen Visconti,Larry Vanover,David Rackley,Hunter Wendelstedt,A,No Precipitation,Cloudy,Yankee Stadium III,72,in from Leftfield,16,(L),0
Marcell Ozuna,4,LF,STL,SFG,SLN201909030,Jansen Visconti,Cory Blaser,Jeff Nelson,Laz Diaz,H,No Precipitation,Cloudy,Busch Stadium III,89,out to Rightfield,5,(R),1
Billy McKinney,8,LF,TOR,CHW,CHA201905170,Gerry Davis,Pat Hoberg,Ryan Additon,Brian Knight,A,No Precipitation,Cloudy,Guaranteed Rate Field,46,out to Rightfield,11,(R),0
Pat Valaika,NA,PH-3B,COL,PHI,COL201809260,Jim Reynolds,Mark Wegner,John Tumpane,Todd Tichenor,H,No Precipitation,Cloudy,Coors Field,71,in from Rightfield,4,(R),0
Brad Brach,NA,P,ATL,PHI,ATL201809220,Brian Knight,Hunter Wendelstedt,Gerry Davis,Pat Hoberg,H,No Precipitation,Sunny,SunTrust Park,85,from Right to Left,4,(R),0
Brian Goodwin,NA,PR-RF,WSN,NYY,NYA201806120,Brian O'Nora,Fieldin Culbreth,CB Bucknor,Chris Conroy,A,No Precipitation,Night,Yankee Stadium III,71,from Right to Left,17,(R),0
